Feature명,카테고리,데이터타입,계산식,실제계산식,설명,목적,예시,관계성퍼센트(%),중요도,급증예측기여,원천컬럼
hub_storage_risk,Hub_도메인특화,int (0 or 1),1 if (hub_last < 610 and storage_util_last >= 7) else 0,(HUB<610 AND 저장공간≥7) 이면 1 아니면 0,HUB + FS Storage 복합 위험,복합 병목 감지,1이면 HUB와 저장공간 동시 부족,93,최상,최상,"HUBROOMTOTAL, CD_M163FSTORAGEUTIL"
net_flow,유입유출_복합,float,inflow_sum - outflow_sum,유입합계 - 유출합계,순 유입량 (유입 - 유출),작업 축적 여부 파악,net_flow=50 → 배출보다 유입 많음 (축적),81,최상,최상,Inflow 컬럼들 - Outflow 컬럼들
total_cmd,CMD_복합,float,"sum(M16A_3F_CMD, M16A_6F_TO_HUB_CMD)",CMD1 + CMD2,전체 CMD 처리량 합계,총 처리 능력 파악,total=210 → 전체 처리 부족,86,최상,최상,"M16A_3F_CMD, M16A_6F_TO_HUB_CMD"
total_cmd_low,CMD_복합,int (0 or 1),1 if cmd_sum < 220 else 0,CMD합계<220 이면 1 아니면 0,CMD 부족 신호 (<220),CMD 부족 경고,1이면 CMD 부족,79,상,상,"M16A_3F_CMD, M16A_6F_TO_HUB_CMD"
total_cmd_very_low,CMD_복합,int (0 or 1),1 if cmd_sum < 200 else 0,CMD합계<200 이면 1 아니면 0,CMD 심각한 부족 (<200),CMD 위기 신호,1이면 CMD 심각 부족,87,최상,최상,"M16A_3F_CMD, M16A_6F_TO_HUB_CMD"
hub_cmd_bottleneck,Hub_CMD_복합병목,int (0 or 1),1 if (hub_last < 610 and cmd_sum < 220) else 0,(HUB<610 AND CMD<220) 이면 1 아니면 0,HUB + CMD 동시 병목,이중 병목 감지 (최악 상황),1이면 HUB와 CMD 동시 부족 → 급증 위험 극대!,94,최상,최상,"HUBROOMTOTAL, M16A_3F_CMD, M16A_6F_TO_HUB_CMD"
storage_util_critical,Storage_Util_도메인특화,int (0 or 1),1 if storage_util >= 205 else 0,스토리지사용률≥205 이면 1 아니면 0,M16A_3F 스토리지 사용률 위험 (≥205),스토리지 과부하 경고,1이면 스토리지 위험,83,상,상,M16A_3F_STORAGE_UTIL
storage_util_high_risk,Storage_Util_도메인특화,int (0 or 1),1 if storage_util >= 207 else 0,스토리지사용률≥207 이면 1 아니면 0,M16A_3F 스토리지 사용률 심각 (≥207),스토리지 위기 신호,1이면 스토리지 즉시 위험,89,최상,최상,M16A_3F_STORAGE_UTIL
surge_risk_score,급증위험_통합점수,int,hub_high*3 + storage_util_critical*2 + total_cmd_low*1 + storage_util_high*1,(HUB병목×3) + (저장공간위험×2) + (CMD부족×1) + (저장공간높음×1),복합 위험도 점수 (가중합),전체 위험도를 단일 점수로 표현,score=6 → 매우 위험 (hub_high + storage + cmd 모두 문제),91,최상,최상,"hub_high, storage_util_critical, total_cmd_low, storage_util_high"
surge_imminent,급증임박_신호,int (0 or 1),1 if (seq_target[-1] > 272 and target_acceleration > 0.2 and hub_high == 1) else 0,(현재값>272 AND 가속도>0.2 AND HUB병목=1) 이면 1 아니면 0,급증 임박 신호 (현재값 높음 + 가속 중 + HUB 병목),급증 직전 패턴 종합 감지,1이면 곧 300 초과 가능성 매우 높음!,95,최상,최상,"CURRENT_M16A_3F_JOB_2, target_acceleration, hub_high"
